id,category,filename,priority,duration_seconds,loop,format,lufs,prompt
M1,Music,Music/menu_theme,P0,90,yes,ogg,-16,"Industrial dark ambient, post-apocalyptic, warm decay aesthetic. Reference palette: Frostpunk soundtrack meets Disco Elysium. A slow, solemn main-menu theme for a tower-defense game set on the dying Ember Railway. D minor natural minor scale, 72 BPM. Instrumentation: sub-bass drone on D1 sustained throughout; distant railway-impact samples once every 4 bars with heavy reverb; isolated sparse piano single notes playing the motif D-F-A-D ascending, 2-3 seconds between each note, with tape hiss; filtered white-noise wind panning slowly; from bar 32 a female wordless hum on A4 for 8 bars with lush reverb, sidechained to the drone. Mood: solemn, melancholic, ceremonial like the last post — NOT epic heroic, NOT horror tense. The feeling of a great rusting machine allowed to rest. 44.1kHz stereo, -16 LUFS, seamless loop with no click at the join, 2-bar fade tail. Must evoke the last railway of a dying ember civilization. NO epic orchestral, NO EDM drops, NO horror stingers."
M2a,Music,Music/combat_chapter_a,P0,60,yes,ogg,-16,"Industrial dark ambient combat bed, chapter A (early game, single-rail junction and ash depot). Warm decay aesthetic, reference Frostpunk meets Disco Elysium. 96 BPM, alternating D minor and F major tonality. FOUR layered stems that play independently and crossfade by wave phase: (1) combat_chapter_a_bed — sub-bass drone plus distant low-frequency boiler pulses, plays throughout; (2) combat_chapter_a_rhythm — mechanical piston-and-cog percussion on steady quarter notes evoking a steam engine; (3) combat_chapter_a_melody — cello playing a short descending motif, entering once every 8 bars; (4) combat_chapter_a_danger — filtered detuned metallic scraping, fades in only during high-pressure waves. Mood: steady, tense but not panicked, the rhythm of industry. 44.1kHz stereo, -16 LUFS, each stem >=60s seamless loop. Must evoke the last railway of a dying ember civilization. NO epic orchestral, NO EDM drops."
M2b,Music,Music/combat_chapter_b,P1,60,yes,ogg,-16,"Industrial dark ambient combat bed, chapter B (split-switch canyon, multi-lane). Warmer decay, reference Frostpunk. 104 BPM, D minor. Builds on chapter A but rhythm tightens; add a split-path dual-channel offset percussion where left and right ears hit a half-beat apart to evoke a branching rail junction. Cello replaced by sharper glissando lines. Same four-stem architecture (bed/rhythm/melody/danger). Mood: divided, accelerating, the threat now comes from two directions. 44.1kHz stereo, -16 LUFS, each stem >=60s seamless loop. Must evoke the last railway of a dying ember civilization. NO epic orchestral, NO EDM drops."
M2c,Music,Music/combat_chapter_c,P1,60,yes,ogg,-16,"Industrial dark ambient combat bed, chapter C (hollow kiln basin, ring path). Heaviest and slowest, reference Frostpunk. 88 BPM, D minor. Add large-cavity kiln resonance pulsing at 60-80Hz like a breathing furnace. Melody moves to sparse isolated piano notes. The danger stem adds a sub-bass heartbeat once every 2 bars evoking the kiln breathing. Same four-stem architecture. Mood: oppressive, weighty, a vast empty chamber pressing down. 44.1kHz stereo, -16 LUFS, each stem >=60s seamless loop. Must evoke the last railway of a dying ember civilization. NO epic orchestral, NO EDM drops."
M2d,Music,Music/combat_chapter_d,P0,60,yes,ogg,-16,"Industrial dark ambient combat bed, chapter D (last ember terminus, finale). Darkest, reference Frostpunk. 80 BPM, persistent D minor. Restrained front section — only drone and occasional railway impacts. The danger stem, which fully opens during boss waves, layers industrial metal percussion plus detuned cello plus distant siren long-tones. This danger stem should naturally extend into the victory stinger M3. Mood: the final station, the last fire before extinction, dread with grim resolve. 44.1kHz stereo, -16 LUFS, each stem >=60s seamless loop. Must evoke the last railway of a dying ember civilization. NO epic orchestral, NO EDM drops."
M3,Music,Music/victory_stinger,P0,10,no,ogg,-16,"A one-shot victory stinger for a tower-defense game, industrial dark ambient, warm decay aesthetic, reference Frostpunk. D major bright presentation of the D-F-A-D motif from the main menu theme. Instrumentation: piano block chords plus cello sustain plus one warm metallic bell chime on D4 with rich overtones. 8-12 seconds with a 2-second tail. Mood: release and quiet relief, the machine can finally rest — NOT triumphant fanfare, NOT celebratory carnival. 44.1kHz stereo, -16 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO epic orchestral, NO EDM drops."
M4,Music,Music/defeat_stinger,P0,8,no,ogg,-16,"A one-shot defeat stinger for a tower-defense game, industrial dark ambient, warm decay aesthetic, reference Frostpunk. Content: a single descending cello slide from D2 down to A1, followed by a long filtered steam-venting hiss that drops in pitch, capped by one distorted metallic collapse sound. 6-10 seconds. Mood: the fire going out, emptiness and stillness — NOT dramatic tragedy, NOT horror shock. 44.1kHz stereo, -16 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO horror stingers, NO cartoonish failure sounds."
M5,Music,Music/resonance_window,P1,10,yes,ogg,-16,"The only magically transcendent sound in the game — the Ember Resonance window opening. Industrial dark ambient base but ascending into something sacred. Rising filtered warm-noise pad plus high-frequency shimmering metallic overtones evoking embers about to ignite, with a faint female wordless hum on A4 with vibrato. >=10s seamless loop, BPM must be compatible for ducking under combat music. Mood: a dangerous sacred opportunity window, the world holds its breath. 44.1kHz stereo, -16 LUFS, seamless loop. Must evoke the last railway of a dying ember civilization. NO fantasy sparkle magic, NO EDM build-ups."
S1,SFX,Sfx/Hit/routine_hit,P0,0.1,no,wav,-18,"A short projectile-on-chitin impact sound effect for a tower-defense game, industrial aesthetic. Crisp metallic 'tink' of a projectile hitting armor followed by a faint debris crumble. Fast attack under 3ms. 80-120ms total, mono, -18 LUFS, no clipping. Must evoke the last railway of a dying ember civilization. NO cartoonish plops, NO laser zaps."
S2,SFX,Sfx/Hit/critical_hit,P1,0.18,no,wav,-12,"A critical-hit impact sound effect for a tower-defense game, industrial aesthetic. Brighter and more valuable-sounding than a routine hit: a sharper metallic penetration plus an additional harmonic ring that sustains briefly. Clearly more premium than a normal hit. 150-200ms, mono, -12 LUFS, fast attack <5ms, no clipping. Must evoke the last railway of a dying ember civilization. NO cartoonish plops, NO generic RPG crit stingers."
